title,references
Optimizing Emergency Department Front-End Operations,"B Bursch et al.Emergency department satisfaction: what matters most?Ann Emerg Med(1993)-::-D.A. Thompson et al.Effects of actual waiting time, perceived waiting time, information delivery, and expressive quality on patient satisfaction in the emergency departmentAnn Emerg Med(1996)-::-R.W. Derlet et al.Overcrowding in the nation's emergency departments: complex causes and disturbing effectsAnn Emerg Med(2000)-::-D.P. Andrulis et al.Emergency departments and crowding in United States teaching hospitalsAnn Emerg Med(1991)-::-M. Eckstein et al.The effect of emergency department crowding on paramedic ambulance availabilityAnn Emerg Med(2004)-::-J.M. Pines et al.Emergency department crowding is associated with poor care for patients with severe painAnn Emerg Med(2008)-::-K.V. Iserson et al.Triage in medicine, part 1: concept, history and typesAnn Emerg Med(2007)-::-D.W. Spaite et al.Rapid process redesign in a university-based emergency department: decreasing waiting time intervals and improving patient satisfactionAnn Emerg Med(2002)-::-R. MorganTurning around the turn-arounds: improving ED throughput processesJ Emerg Nurs(2007)-::-T.C. Chan et al.Impact of rapid entry and accelerated care at triage on reducing emergency department wait times, length of stay, and rate of left without being seenAnn Emerg Med(2005)-::-D.A. Bertoty et al.Direct-to-room: one department's approach to improving ED throughputJ Emerg Nurs(2007)-::-K.M. Takakuwa et al.Strategies for dealing with emergency department crowding: a one-year study on how bedside registration affects patient throughput timesJ Emerg Med(2007)-::-M.H. Gorelick et al.The effect of in-room registration on emergency department length of stayAnn Emerg Med(2005)-::-D.C. Seaberg et al.Correlation between triage nurse and physician ordering of ED testsAm J Emerg Med(1998)-::-M. FryTriage nurses order x-rays for patients with isolated distal limb injuries: a 12-month ED studyJ Emerg Nurs(2001)-::-K.M. Lee et al.Accuracy and efficiency of X-ray requests initiated by triage nurses in an accident and emergency departmentAccid Emerg Nurs(1996)-::-P. Campbell et al.Implementation of an ED protocol for pain management at triage at a busy level I trauma centerJ Emerg Nurs(2004)-::-J.J. Cooper et al.Effect of an automated chest radiograph at triage protocol on time to antibiotics in patients admitted with pneumoniaAm J Emerg Med(2008)-::-D. SeguinA nurse-initiated pain management advanced triage protocol for ED patients with an extremity injury at a level I trauma centerJ Emerg Nurs(2004)-::-L. Graff et al.Triage of patients for a rapid (5-minute) electrocardiogram: a rule based on presenting chief complaintsAnn Emerg Med(2000)-::-T. Rogers et al.Evaluation of a “see and treat” pilot study introduced to an emergency departmentAccid Emerg Nurs(2004)-::-H.W. Meislin et al.Fast track: urgent care within a teaching hospital emergency department: can it work?Ann Emerg Med(1988)-::-M. Sanchez et al.Effects of a fast-track area on emergency department performanceJ Emerg Med(2006)-::-K. Nash et al.Evaluation of the fast track unit of a university emergency departmentJ Emerg Nurs(2007)-::-H.K. Simon et al.“Fast tracking” patients in an urban pediatric emergency departmentAm J Emerg Med(1996)-::-M.S. Smith et al.The next-generation emergency departmentAnn Emerg Med(1998)-::-B.D. Gordon et al.Accuracy of staff-initiated emergency department tracking system timestamps in identifying actual event timesAnn Emerg Med(2008)-::-D. AronskySupporting patient care in the emergency department with a computerized whiteboard systemJ Am Med Inform Assoc(2008)-::-E. BogerElectronic tracking board reduces ED patient length of stay at Indiana HospitalJ Emerg Nurs(2003)-::-N. Gorsha et al.Transforming emergency care through an innovative tracking technology: an emergency department's extreme makeoverJ Emerg Nurs(2006)-::-D. HorakDesigning and implementing a computerized tracking system: the experience at one level I trauma center emergency departmentJ Emerg Nurs(2000)-::-T.B. TaylorInformation management in the emergency departmentEmerg Med Clin North Am(2004)-::-R. Spencer et al.Variation in communication loads on clinical staff in the emergency departmentAnn Emerg Med(2004)-::-M.M. Le et al.Providing mobile phones to emergency medicine residents: perceived effects on physician communication and workAnn Emerg Med(2004)-::-S.C. Porter et al.The asthma kiosk: a patient-centered technology for collaborative decision support in the emergency departmentJ Am Med Inform Assoc(2004)-::-B.A. Aubert et al.Adoption of smart cards in the medical sector: the Canadian experienceSoc Sci Med(2001)-::-A. Naszlady et al.Patient health record on a smart cardInt J Med Inform(1998)-::-J.A. Edlow et al.American College of Emergency PhysiciansClinical policy: critical issues in the evaluation and management of adult patients presenting to the emergency department with acute headacheAnn Emerg Med(2008)-::-E. von Elm et al.The Strengthening the Reporting of Observational Studies in Epidemiology (STROBE) statement: guidelines for reporting observational studiesLancet(2007)-::-E.H. Gilbert et al.Chart reviews in emergency medicine research: where are the methods?Ann Emerg Med(1996)-::-E.W. Nawar et al.National Hospital Ambulatory Medical Care Survey—2005 emergency department survey: advance data for vital health statistics, number 386, June 29, 2007-::-Taking the pulse: The state of America's hospitals-::-E.D. Boudreaux et al.Predictors of emergency department patient satisfaction: stability over 17 monthsAcad Emerg Med(2004)-::-J.R. Richards et al.Survey of directors of emergency departments in California on crowdingWest J Med(2000)-::-S. Lui et al.Impact of critical bed status on emergency department patient flow and overcrowdingAcad Emerg Med(2003)-::-K.V. Rondeau et al.Emergency department overcrowding: the impact of resource scarcity on physician job satisfactionJ Healthc Manag(2005)-::-P.C. Sprivulis et al.The association between hospital overcrowding and mortality among patients admitted via Western Australian emergency departmentsMed J Aust(2006)-::-D.B. RichardsonIncrease in patient mortality at 10 days associated with emergency department overcrowdingMed J Aust(2006)"
"Effects of Actual Waiting Time, Perceived Waiting Time, Information Delivery, and Expressive Quality on Patient Satisfaction in the Emergency Department","B Bursch et al.Emergency department satisfaction: what matters most?Ann Emerg Med(1993)-::-HG Colt et al.Attitudes of patients and physicians regarding physician dress and demeanor in the emergency departmentAnn Emerg Med(1989)-::-E TaliaferroA case study in management: The patient complaintJ Emerg Med(1983)-::-S Krishel et al.Effect of emergency department information on patient satisfactionAnn Emerg Med(1993)-::-H Bjorvell et al.Patients' perceptions of the health care received in an emergency departmentAnn Emerg Med(1991)-::-RP Schiermeyer et al.Physician business cards enhance patient satisfactionAm J Emerg Med(1994)-::-S RosenzweigTeaching the art of emergency medicineAnn Emerg Med(1991)-::-A unique and refreshing approach to E.D. patient communicationEmergency Medicine Notes(1994)-::-R MartinPromoting patient satisfactionAnn Emerg Med(1988)-::-AJ Booth et al.Waiting times and patient satisfaction in the accident and emergency departmentArch Emerg Med(1992)-::--::-S RosenzweigEmergency rapportJ Emerg Med(1993)-::-KD BoppHow patients evaluate the quality of ambulatory medical encounters: A marketing perspectiveJ Health Care Marketing(1990)-::-JC Mowen et al.Waiting in the emergency room: How to improve patient satisfactionJ Health Care Marketing(1993)-::-Reorganizing personnel, space improves patient flow, reduces waiting timesED Management(1994)"
Overcrowding in the nation’s emergency departments: Complex causes and disturbing effects,"W KondroRelief at a price for emergency wards in OntarioLancet(1998)-::-FS Shih et al.ED overcrowding strategiesAm J Emerg Med(1999)-::-DP Andrulis et al.Emergency departments and crowding in United States teaching hospitalsAnn Emerg Med(1991)-::-SG Lynn et al.Critical decision making: managing the emergency department in an overcrowded hospitalAnn Emerg Med(1991)-::-RW Derlet et al.Managed care and emergency medicine: conflicts, federal law, and California legislationAnn Emerg Med(1997)-::-D Tandberg et al.Time series forecasts of emergency department patient volume, length of stay, and acuityAnn Emerg Med(1994)-::-AG Pinson et al.ED management of acute pyelonephritis in women: a cohort studyAm J Emerg Med(1994)-::-DA Redelmeier et al.No place to unload: a preliminary analysis of the prevalence, risk factors, and consequences of ambulance diversionsAnn Emerg Med(1994)-::-L GraffOvercrowding in the ED: an international symptom of health care system failureAm J Emerg Med(1999)-::-J Brillman et al.American College of Emergency Physicians Section of Observation Services: management of observation unitsAnn Emerg Med(1995)-::-E FriedmanThe sagging safety net: emergency departments on the brink of crisisHospitals(1992)-::-State health department investigates ER overcrowdingSacramento Bee(August 10, 1998)-::-L DohertyCrowded hospitals diverting patientsThe Sydney Morning Herald(November 3, 1998)"
Emergency department satisfaction: What matters most?,BjorvellH  et al.Patients' perceptions of the health care received in an EDAnn Emerg Med(1991)-::-ChandeVT  et al.Pediatric ED complaints: A three-year analysis of sources and trendsAnn Emerg Med(1991)-::-SchwartzLR  et al.ED complaints: A one-year analysisAnn Emerg Med(1987)-::-ShesserR  et al.The effectiveness of an organized ED follow-up systemAnn Emerg Med(1986)-::-DorabedianA
Emergency departments and crowding in United States teaching hospitals,"Emergency room gridlock: On the verge of crisisNew York Times(September 17, 1989)-::-FrenchH Emergency rooms overwhelmed as New York's poor get sickerNew York Times(December 19, 1988)-::-KahnR Gridlock in the emergency roomBoston Sunday Herald(June 25, 1989)KahnR Gridlock in the emergency roomBoston Sunday Herald(June 25, 1989)KahnR Gridlock in the emergency roomBoston Sunday Herald(June 25, 1989)-::-AckerC  et al.Hospital crowding sends mental patients to jailPhiladelphia Enquirer(September 24, 1989)-::-GarciaK Prognosis gloomy for trauma networkLos Angeles Times(April 10, 1990)-::-MullenK  et al.City warns of disaster at hospitalsDallas Times Herald(December 12, 1989)-::-HillenS Emergency room care straps public hospitals: Intensive care beds in short supply in Kansas City, across the countryKansas City Times(September 25, 1989)-::-GibbsN Do you want to die?Time(May 28, 1990)-::-WillG The trauma in trauma careNewsweek(March 12, 1990)-::-MelnickGA  et al.Uncompensated emergency care in hospital markets in Los Angeles CountyAm J Public Health(1989)-::-ThorpeKE The current hospital crisis in New York City and policy options for resolving itN Y State J Med(1990)-::-Patient Overload and Ambulance Diversion Report and Recommendations(1989)"
The effect of emergency department crowding on paramedic ambulance availability,"S Lambe et al.Trends in the use and capacity of California's emergency departments, 1990-1999Ann Emerg Med.(2002)-::-RW Derlet et al.Overcrowding in the nation's emergency departments: complex causes and disturbing effectsAnn Emerg Med.(2000)-::-S Lambe et al.Waiting times in California's emergency departmentsAnn Emerg Med.(2003)-::-RW Derlet et al.Frequent overcrowding in US emergency departmentsAcad Emerg Med.(2001)-::-N Shute et al.Code blue: crisis in the ERUS News and World Report(September 10, 2001)-::-J ApplebyER conditions criticalUSA Today(February 4, 2000)-::-US Census Bureau. Population estimates for cities and towns, 2002. Available at:..."
Rapid process redesign in a university-based emergency department: Decreasing waiting time intervals and improving patient satisfaction,"PD Cleary et al.A national survey of hospital patients: the relationship between reported problems with care and patient evaluationsQual Rev Bull.(1992)-::-B Bursch et al.Emergency department satisfaction: what matters most?Ann Emerg Med(1993)-::-KJ Rhee et al.Perceptions and satisfaction with emergency department careJ Emerg Med(1996)-::-DA Thompson et al.Effects of actual waiting time, perceived waiting time, information delivery, and expressive quality on patient satisfaction in the emergency departmentAnn Emerg Med(1996)-::-DM Berwick et al.Reducing Waits and Delays and Improving Patient Satisfaction in the Emergency Department(1999)"
Emergency Department Crowding Is Associated With Poor Care for Patients With Severe Pain,"J.E. Wilson et al.Oligoanalgesia in the emergency departmentAm J Emerg Med(1989)-::-J.C. Brown et al.Emergency department analgesia for fracture painAnn Emerg Med(2003)-::-T. Rupp et al.Inadequate analgesia in emergency medicineAnn Emerg Med(2004)-::-P.S. GrantAnalgesia delivery in the EDAm J Emerg Med(2006)-::-K.H. Todd et al.Ethnicity and analgesic practiceAnn Emerg Med(2000)-::-J.S. Jones et al.Age as a risk factor for inadequate emergency department analgesiaAm J Emerg Med(1996)-::-G. Arendts et al.Factors associated with delay to opiate analgesia in emergency departmentsJ Pain(2006)-::-J.K. Heins et al.Disparities in analgesia and opioid prescribing practices for patients with musculoskeletal pain in the emergency departmentJ Emerg Nurs(2006)-::-J.M. Pines et al.Oligoanalgesia in ED patients with isolated extremity injury without documented fractureAm J Emerg Med(2005)-::-R. DerletOvercrowding in emergency departments: increased demand and decreased capacityAnn Emerg Med(2002)-::-R.W. Derlet et al.Overcrowding in the nation’s emergency departments: complex causes and disturbing effectsAnn Emerg Med(2000)-::-S.L. Bernstein et al.Emergency department crowding: old problem, new solutionsEmerg Med Clin North Am(2006)-::-L.I. Solberg et al.Emergency department crowding: consensus development of potential measuresAnn Emerg Med(2003)"
"Triage in Medicine, Part I: Concept, History, and Types",L.M. Stock et al.Patients who leave emergency departments without being seen by a physician: magnitude of the problem in Los Angeles CountyAnn Emerg Med(1994)-::-R.W. Derlet et al.Prospective identification and triage of nonemergency patients out of an emergency department: a five year studyAnn Emerg Med(1995)-::-K.V. IsersonAssessing values: rationing emergency department careAm J Emerg Med(1992)-::-D.A. Travers et al.Five-level triage system more effective than three-level in tertiary emergency departmentJ Emerg Nurs(2002)-::-C.M.B. Fernandes et al.Five-level triage: a report from the ACEP/ENA five-level triage task forceJ Emerg Nurs(2005)-::-R. Beveridge et al.Reliability of the Canadian Emergency Department Triage and Acuity Scale: interrater agreementAnn Emerg Med(1999)-::-K. Kennedy et al.Triage: techniques and applications in decisionmakingAnn Emerg Med(1996)-::-G.R. Winslow-::-R.A. Gatter et al.From futility to triageJ Med Philos(1995)-::-S.B. NulandThe inglorious healing arts-::-C.R. BlaggTriage: Napoleon to the present dayJ Nephrol(2004)-::-G.R. Lucas et al.-::-J.W. WengertJean Dominique Larrey (1766-1842): Surgeon of the GuardMil Med(1979)-::-D.J. Larrey-::-D.E. Hogan et al.Triage-::-J. WattDoctors in the warsJ Royal Soc Med(1984)-::-W. Whitman-::-A.J. Bollet-::-W.W. Keen-::-J. Trueta-::-D.R. Bacon et al.Anesthesiology’s greatest generation?Anesthesiology(2001)-::-H.K. BeecherPenicillin-::-E. DolevEthical issues in military medicineIsrael J Med Sci(1996)-::-
Turning Around the Turn-Arounds: Improving ED Throughput Processes,-::-LF McCaig et al.National hospital ambulatory medical care survey: 2003 emergency department summary
